Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,-8.671035436,-3.865449046,-18.19211794,-14.94444338,-18.76923042,-17.366833,-14.79564245,-19.38879003,-16.82408543,-18.6786285,-20.68456072,-13.31695812,-12.54864359,-10.77256047,-15.56465561,-11.35736975,-13.21632591,-16.57651779,-10.79884242,-7.861561166,-13.62142147,-22.63550593,-13.58196824,-9.711721262,-17.56825733,-15.74009025,-12.94198354,-13.38477576,-18.39962856,-18.1323305,-17.30426274,-16.96833538,-21.09639467,-23.70337542,-20.36396983,-19.06608558,-12.45643385,-16.83972946,-14.49812894,-11.62966444,-12.13262195,-18.0539729,-16.06074031,-15.70089538,-19.29694085,-21.87827497,-22.59327102,-22.57471291,-14.4934774,-13.44627337,-35.67375422,5.205868781,-11.75164091,-14.73629491,-11.91315293,-11.82447886,-22.35600977,-12.01357617,-22.86797045,-17.98696415,-12.27199105,-13.0133983,-12.80018962,-10.10556896,-5.880858845,-11.92950942,-9.99465305,-9.879219544,-7.019616158,-9.975256159,-14.05277123,-8.913446354,-10.93615793,-12.09675838,-14.34090775,-11.31462201,-10.1992894,-14.53369245,-12.28539723,-7.692445397,-6.745204659,-7.237340908,-6.12712428,-13.19941266,-11.08327677,-6.967246382,-9.754565386,-10.39455643,-9.738541718,-11.95585006,-9.193937235,-15.20030068,-7.762586376,-8.947743438,-13.35660286,-11.07266609
2,-5.84815337,-7.018936014,-9.083118312,-11.09655644,-10.57209886,-15.53520664,-11.8857995,-13.91110753,-12.81694981,-8.753446513,-5.778596136,-4.57898277,-6.424024413,-7.831023292,-10.68244221,-12.5413113,-11.05905288,-10.12978438,-9.69541225,-10.91986385,-11.14939949,-12.95179982,-14.34647425,-6.962104361,-10.40482954,-12.04036308,-12.04681086,-6.072450308,-8.426506261,-9.855275445,-10.80295899,-9.037143519,-13.49526198,-13.43134492,-7.980289572,-5.144184074,-4.82604254,-13.18030632,-12.1037407,-10.82605265,-12.32096003,-9.84415805,-10.39403874,-11.58443104,-12.62322507,-12.2286217,-12.54258722,-10.67671876,-7.802751561,-8.236206177,-21.95136524,9.350941205,-8.126801296,-9.258156664,-7.173137976,-7.853477286,-15.42919691,-5.933982192,-14.41178079,-7.272266496,-6.264954875,-6.85563708,-7.16328568,-4.227274082,-5.09228824,-8.214578949,-1.604049057,-4.359516815,-3.954097099,-5.896746093,-2.513473587,-4.215888894,-2.692873415,-5.356641991,-1.949210277,-7.708420643,-1.828001418,-4.977200724,-3.490858366,-1.674783407,-1.675656146,-3.772838084,-1.357592877,-0.963484677,-4.861638887,-6.919647675,1.276142453,-3.230698172,-5.252079975,-4.933411964,-6.252610943,-6.825535833,0.241187204,-4.687695265,-4.892570752,-2.514510186
3,-3.326510764,-4.516978079,-6.934463167,-6.14942068,-9.374535875,-7.994074919,-9.656261073,-11.57051452,-3.848250889,-6.242267893,-2.653465876,-3.410583257,-5.6385084,-6.151329182,-10.38062486,-5.541426275,-8.875857018,-4.637401471,-4.352516113,-3.546434265,-2.469555822,-9.692085712,-5.481011613,-0.649387244,-5.726697263,-6.981465481,-8.596674351,-8.334244252,-6.04907072,-6.969349848,-6.135612981,-7.567787568,-11.6189664,-13.32266811,-6.093679115,-1.533931033,-5.132455592,-7.138434307,-10.87990767,-9.039212507,-8.447231948,-7.999599666,-7.977513144,-8.020957638,-8.140229065,-8.293893189,-10.09526087,-5.555391117,-1.666433021,-7.863004343,-8.951113826,-4.321562237,-0.638154159,-1.665933297,-2.59556717,-1.498762065,-10.85815051,-8.01353165,-7.675752752,-5.716110685,-0.409719981,-2.611793035,-5.124019539,-7.512482873,-3.847139569,-2.935296258,-4.281926147,-4.659902127,-0.362546133,-3.009177956,-1.826917639,-0.57682288,-1.963290796,-5.177702365,-2.322155943,-2.931504965,-4.369022249,0.099944132,-1.272731703,-3.478230979,-0.809141732,-0.265781334,3.258718048,-3.285291902,-3.312670813,-0.089463234,1.144340716,-0.812376335,-1.652790217,-0.592781771,-3.157643233,-0.584131357,1.636125704,-1.10401391,-3.079977894,1.859206217
4,-0.769360377,-4.873009309,-5.109257349,-5.620011458,-3.242555789,-4.153319324,-8.129316289,-6.417380956,-2.699430654,-10.81375615,-0.526721858,-5.242397331,-6.973264989,-2.462195861,-5.584767602,-2.403887548,-7.110711428,-5.970701614,-2.535754255,-2.640499732,-2.781348095,-5.955497038,-1.787437193,2.906203791,-6.292032258,-5.254215647,-6.25336053,-7.136087191,-5.874211855,-6.638804899,-5.891981582,-4.73225665,-8.551721112,-5.418129207,-2.841807507,-0.82956521,-5.130149111,-9.789846728,-6.562929405,-5.357979689,-7.045652574,-6.919686759,-3.320782632,-2.600179984,-7.554900422,-5.684995503,-2.091168294,-2.91285046,-1.902031616,-1.630773641,-4.262409581,-6.403443999,-1.314261151,0.177454379,-4.003706216,0.155953246,-5.400760775,-2.594048097,-2.840653163,1.358446955,-2.424546428,-1.60179955,-3.035285801,0.682801144,-1.833248848,1.906637058,-0.363772309,-4.267913047,0.545552244,-1.468855508,0.497910039,0.341764795,-1.381092347,-0.447597553,0.597067517,1.630261278,1.766243256,0.507067279,-1.378115783,-1.306441033,-1.424300909,6.700421157,0.13634505,-1.653650772,-0.660629489,-1.069021183,-0.554296735,-0.536331496,-1.075317536,0.041211328,4.927994261,1.694892451,1.595730939,-0.695132798,-0.655902328,6.044040816
5,-3.371945109,-4.248195125,-4.788005527,-4.246865607,-2.519814667,-2.713396971,-4.193280212,-2.663346565,-4.667416728,-2.051855907,-0.536549831,-0.80223956,-6.034662344,-5.624207355,0.453636104,-1.046693374,-3.506533438,-2.015705592,-5.707900797,0.714816169,-1.014949265,-2.115506331,-6.120711307,-0.591198384,-1.463612982,-6.614348048,-4.112449022,-6.671570765,-3.591899576,-6.062452342,-7.219598311,-3.059350721,-1.987555614,-9.41895624,-9.102923859,-3.885618707,-3.328387134,-3.471775953,-1.423281374,-2.144301844,-8.728202292,-3.256777744,-5.472724091,-4.911095941,-8.571224482,-5.102372798,-1.156239747,-4.209094072,-1.889597748,-1.634572209,-5.008108365,-7.079839106,-3.340283221,-1.19140311,-5.592533126,-0.727029968,-4.69589256,-0.449315689,-3.245291158,-0.957550632,-0.331951759,0.433800255,-0.720564179,-0.074723545,-0.421066778,-2.156499542,-0.168865142,-4.209099183,-2.3580717,-0.318867351,2.963470809,2.622986947,0.923888094,2.117464363,-0.976294181,-2.476826596,1.645776405,1.177573219,0.498742896,-1.71123007,0.89587281,-0.39342514,0.154050246,0.038049177,1.864946901,1.874961025,0.562578989,2.563046603,1.483828215,-0.121888107,2.795364232,1.107407829,1.556606637,1.768488106,5.123480272,2.973866878
6,0.729868392,-3.059141544,-3.364135491,-4.740070649,-2.950061995,-3.291172791,-4.252817912,-2.909303886,-3.509181773,-3.005112778,-4.144695119,4.332328481,-2.148812109,-4.022051213,-3.632957986,-1.320178326,-3.835886364,-5.83111917,-3.336891885,0.318629376,-5.134307594,-1.584084421,-6.759400766,-4.294155043,-1.253316954,-4.438024982,-0.032507847,-8.916862017,-2.034207402,-2.458100846,-3.692197678,-3.760103255,-6.012824389,-3.342389742,-5.475822183,-6.720732782,-3.547897467,-3.724036192,-5.284174189,-4.605628199,-1.495214128,-3.054857027,-3.77139225,-2.816379535,-2.281178964,-3.530443743,-5.63308852,-1.231368858,-2.039966288,-0.426597594,0.733106059,-12.56609589,-0.004288794,-6.189184501,-3.104189016,-2.003842414,-5.245996769,-0.18107599,-7.40337708,-1.196995686,3.158419477,-0.588496211,3.818612293,1.720810483,-1.120761843,-1.585987333,-0.791953244,1.644945254,1.700796132,1.409106138,-0.523716061,2.875108773,0.537379974,-1.131336908,3.112557359,2.765757507,0.820070995,0.303512837,1.186291447,3.616199503,0.543087275,-3.227731015,0.592951785,0.062571686,6.145199574,2.89492223,-1.846417944,1.212852652,4.584704195,0.097766461,2.548594261,1.425943993,1.905187012,5.19273454,1.337907924,0.096656866
7,-2.427017504,1.400949452,-0.183543378,0.331075233,-1.662505932,-4.263120122,-5.053943717,-0.779739154,-1.581145734,-5.988100496,-2.643550539,-1.946057426,0.102407847,-0.845268532,-1.737788524,-2.002188623,-1.230441237,-1.319289154,-2.743862152,-0.803655776,-8.483705295,-4.365480076,-2.835214351,-3.161787762,-4.223902883,-3.989323384,-0.796883006,-0.170856983,-1.883837496,-2.856665215,-4.552913991,0.01867664,-6.779230663,-1.508920492,-1.125762982,-1.163052131,1.150709282,-1.230807095,-5.488478281,-0.404263976,-1.320602957,-0.910163799,-1.848566475,-3.30848205,-8.579562233,0.046690543,-3.27882382,-5.937023125,-0.333610076,-0.986798508,-0.662807836,7.065265181,1.73210239,-4.268121555,2.715662439,-2.237425963,-2.70017488,0.640544818,-4.262480868,3.789628242,-0.738116505,1.91406892,0.989653786,1.090650639,2.129983191,1.375267095,-0.599741781,5.741551852,2.852374053,-0.241744682,5.017549072,0.597499289,5.687706045,5.953423988,0.321766028,2.401779992,0.467490205,-0.816981868,-1.954646,1.130723961,2.483483594,0.932942709,1.617385001,0.73626865,1.341366861,-0.250541074,0.793873028,4.638662525,0.608270015,-0.832774618,-0.159698038,0.604677846,0.857514568,0.433656835,-0.021949632,0.796364578
8,-1.079823643,-2.699199228,-1.223224803,-3.342946656,-2.984011327,-1.234409212,0.319051866,-0.450961948,-3.216022965,0.129980903,-2.515505516,-2.227167469,-2.592755433,-1.436992372,-0.433786392,-3.590307228,0.415651278,2.252315696,-3.326252624,-2.177610668,1.121861325,-0.271204426,-3.317910949,2.468989657,0.027930759,-1.155534054,-2.94357361,-1.549981834,-1.732053614,-1.363269707,-4.734686961,1.820111774,-2.573542445,-3.679373324,-4.475941505,3.30116685,-1.856837614,-2.614950858,-0.696819285,-3.460156432,-3.394297158,-3.903764116,-3.672209472,-2.823899309,3.030276808,-7.763188369,-0.086170026,-0.290101792,2.21352735,1.660112361,0.331186091,-9.953595511,2.81125392,2.675235054,0.295594197,-1.716918345,1.902015626,-0.768782956,-1.746532357,3.257657838,0.36205932,0.708494229,4.066180618,-0.195869847,1.212669436,5.17533004,0.543284813,3.310119737,0.527923399,-1.302061683,-1.341053338,-1.242737859,-2.459249007,1.540653654,0.163781831,0.323143209,2.974851041,-2.423411041,-0.929228992,1.877437928,0.944491934,-1.486302138,3.921263448,2.68854265,0.551531148,1.926477368,0.75120798,-6.138740286,3.783980548,2.378548827,-0.715470158,1.538270917,1.794557883,0.794992667,4.26634358,2.012181713
9,1.02015437,-3.593943328,-1.409940954,-0.423983004,1.133471172,-2.361205338,2.190588927,-3.193863528,-0.84087986,2.245719987,-1.271335212,1.6129902,-0.091391755,0.543357843,1.850722595,-0.185018795,-1.380098901,0.497249162,0.87971454,0.085557176,0.3734313,1.843172502,3.116622376,-3.162313941,0.212761079,-4.354009594,3.66397066,-1.00066719,-7.926582573,-2.596660858,-0.522683645,-2.034846073,-2.846283504,-2.182616466,-0.177217611,3.450001679,-0.524380883,-4.319178332,0.452049129,-2.753685541,0.494632694,0.416946154,-1.317521334,-0.583131827,-1.679502948,4.290371,0.670852511,-2.565921227,-0.222266439,-1.35154682,-2.644867679,20.59228537,1.424823798,3.707165466,4.179958346,0.546307106,-0.510497209,0.707399879,-0.645793785,-1.32429877,-0.330203247,1.687700261,0.771436799,1.963594266,2.88102453,1.086575543,3.469414472,4.527306376,-0.682356794,2.937363552,2.480481451,1.448247735,3.848557826,0.086602735,3.7291491,0.134393401,-1.291566206,3.869151245,2.454016131,2.428956183,1.609153274,3.697002982,1.750229262,5.825672329,-0.892310476,-0.426402211,2.726729546,2.28803188,-1.252998909,7.071820756,0.280016702,0.685622838,-0.185705401,-0.743234011,1.2876727,1.110714081
10,-0.796112437,0.695533222,-2.613693886,0.854701334,2.015769906,0.359511732,0.004530387,0.187821076,-0.303666297,-1.915952014,-0.206626822,-3.073826884,-0.774513006,-1.376699015,0.180838777,-0.042697385,0.688336382,-1.542718456,-0.44226078,1.576066121,0.199167137,1.769852744,-2.436109697,2.65282404,-3.905177311,1.767206358,-0.725436713,1.283919072,1.717857064,0.05101878,1.679007558,0.381426142,1.06522221,0.110787899,2.043343082,-0.944550954,3.100843394,-2.072598345,-0.015904204,1.918589305,-1.451376023,0.131944762,0.566263021,0.736867944,-3.320923712,2.632269291,-2.940729645,2.182299296,1.151003327,6.698457996,0.921397609,-3.606971781,0.676795473,-2.161436827,2.743931903,2.68471369,-1.376938282,2.704724491,2.873420654,4.595867639,1.558582841,2.995808032,-0.455750263,3.323411309,0.577656808,-1.265062009,4.142145491,2.173221782,-2.577689051,1.994905608,0.817548358,-0.094710677,-0.614426636,3.99255348,1.310195171,-0.507295173,4.377294905,-1.243290758,5.128207293,2.550889498,-0.813476434,2.443856197,-1.561648888,-0.603806707,1.648623928,1.46236816,0.547613743,1.012857898,-0.065387485,0.049892669,-1.069101229,-1.156468675,-1.949523114,-1.997275792,-1.149637155,0.475198377
